year,inflation_rate,lower_bound,upper_bound,violation
2002,0.0972662962397869,-0.00356,0.039,high
2003,0.10715171637110803,-0.00356,0.039,high
2004,0.1073915836576055,-0.00356,0.039,high
2005,0.03764419192635424,-0.00356,0.039,
2006,-0.013218371168453332,-0.00356,0.039,low
2007,-0.06866203364779702,-0.00356,0.039,low
2008,0.015632810826796493,-0.00356,0.039,
2009,0.0025679970686212808,-0.00356,0.039,
2010,-0.07662328529559885,-0.00356,0.039,low
2011,0.014833528326647864,-0.00356,0.039,
2012,0.0372071300924358,-0.00356,0.039,
2013,0.022178032330635644,-0.00356,0.039,
2014,0.014653514097083627,-0.00356,0.039,
2015,-0.0005788556958033488,-0.00356,0.039,
2016,-0.05587366392528592,-0.00356,0.039,low
2017,-0.0240866928042045,-0.00356,0.039,low
2018,0.061354542838955896,-0.00356,0.039,high
2019,0.03666353160682035,-0.00356,0.039,
2020,0.025126312640078457,-0.00356,0.039,
