year,definition1_not_work,definition2_standard,definition3_economic
1,0.12333333333333334,0.12333333333333334,0.12333333333333334
2,0.07500000000000002,0.07500000000000002,0.07500000000000002
3,0.03000000000000001,0.03000000000000001,0.03000000000000001
4,0.030833333333333334,0.030833333333333334,0.030833333333333334
5,0.03416666666666667,0.03416666666666667,0.03416666666666667
6,0.035,0.035,0.035
7,0.032499999999999994,0.032499999999999994,0.032499999999999994
8,0.10083333333333333,0.10083333333333333,0.10083333333333333
9,0.14083333333333334,0.14083333333333334,0.14083333333333334
10,0.11750000000000001,0.11750000000000001,0.11750000000000001
11,0.08833333333333333,0.08833333333333333,0.08833333333333333
12,0.061666666666666675,0.061666666666666675,0.061666666666666675
13,0.07583333333333334,0.07583333333333334,0.07583333333333334
14,0.08916666666666669,0.08916666666666669,0.08916666666666669
15,0.04499999999999999,0.04499999999999999,0.04499999999999999
16,0.03666666666666667,0.03666666666666667,0.03666666666666667
17,0.05166666666666667,0.05166666666666667,0.05166666666666667
18,0.04416666666666667,0.04416666666666667,0.04416666666666667
19,0.08083333333333333,0.08083333333333333,0.08083333333333333
20,0.10000000000000002,0.10000000000000002,0.10000000000000002
